"filename","version","description","category","subcategory1","subcategory2","url","language"
"music_1970s_pt.csv","1.0","Música dos Anos 1970","Cultura","Música","Anos 1970","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1970s_pt.csv","pt"
"music_1970s_es.csv","1.0","Música de los Años 1970","Cultura","Música","Años 1970","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1970s_es.csv","es"
"music_1980s.csv","1.0","Music of the 1980s","Culture","Music","1980s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1980s.csv","en"
"music_1980s_pt.csv","1.0","Música dos Anos 1980","Cultura","Música","Anos 1980","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1980s_pt.csv","pt"
"music_1980s_es.csv","1.0","Música de los Años 1980","Cultura","Música","Años 1980","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1980s_es.csv","es"
"music_1990s.csv","1.0","Music of the 1990s","Culture","Music","1990s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1990s.csv","en"
"music_1990s_pt.csv","1.0","Música dos Anos 1990","Cultura","Música","Anos 1990","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1990s_pt.csv","pt"
"music_1990s_es.csv","1.0","Música de los Años 1990","Cultura","Música","Años 1990","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_1990s_es.csv","es"
"music_2000s.csv","1.0","Music of the 2000s","Culture","Music","2000s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_2000s.csv","en"
"music_2000s_pt.csv","1.0","Música dos Anos 2000","Cultura","Música","Anos 2000","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_2000s_pt.csv","pt"
"music_2000s_es.csv","1.0","Música de los Años 2000","Cultura","Música","Años 2000","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_2000s_es.csv","es"
"music_2010s.csv","1.0","Music of the 2010s","Culture","Music","2010s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_2010s.csv","en"
"music_2010s_pt.csv","1.0","Música dos Anos 2010","Cultura","Música","Anos 2010","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_2010s_pt.csv","pt"
"music_2010s_es.csv","1.0","Música de los Años 2010","Cultura","Música","Años 2010","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/music_2010s_es.csv","es"
"movies_1950s.csv","1.0","Movies of the 1950s","Culture","Movies","1950s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1950s.csv","en"
"movies_1950s_pt.csv","1.0","Filmes dos Anos 1950","Cultura","Filmes","Anos 1950","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1950s_pt.csv","pt"
"movies_1950s_es.csv","1.0","Películas de los Años 1950","Cultura","Películas","Años 1950","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1950s_es.csv","es"
"movies_1960s.csv","1.0","Movies of the 1960s","Culture","Movies","1960s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1960s.csv","en"
"movies_1960s_pt.csv","1.0","Filmes dos Anos 1960","Cultura","Filmes","Anos 1960","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1960s_pt.csv","pt"
"movies_1960s_es.csv","1.0","Películas de los Años 1960","Cultura","Películas","Años 1960","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1960s_es.csv","es"
"movies_1970s.csv","1.0","Movies of the 1970s","Culture","Movies","1970s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1970s.csv","en"
"movies_1970s_pt.csv","1.0","Filmes dos Anos 1970","Cultura","Filmes","Anos 1970","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1970s_pt.csv","pt"
"movies_1970s_es.csv","1.0","Películas de los Años 1970","Cultura","Películas","Años 1970","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1970s_es.csv","es"
"movies_1980s.csv","1.0","Movies of the 1980s","Culture","Movies","1980s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1980s.csv","en"
"movies_1980s_pt.csv","1.0","Filmes dos Anos 1980","Cultura","Filmes","Anos 1980","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1980s_pt.csv","pt"
"movies_1980s_es.csv","1.0","Películas de los Años 1980","Cultura","Películas","Años 1980","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1980s_es.csv","es"
"movies_1990s.csv","1.0","Movies of the 1990s","Culture","Movies","1990s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1990s.csv","en"
